Content ID,User_ID_(Post_owner),Reaction_Type,Content_Type,Category,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,photo,studying,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,92b87fa5-f271-43e0-af66-84fac21052e6,dislike,photo,studying,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,scared,photo,studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,photo,studying,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,interested,photo,studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,7918d465-0953-4f20-9e28-539e74c82e2f,peeking,photo,studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,fa3e42f0-71d8-455f-b024-e52d5c27a145,cherish,photo,studying,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,hate,photo,studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,1932a904-86ba-4438-bb52-b7e6516a4019,peeking,photo,studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,f50ac030-3af8-4e07-aacf-dccff353b8f6,indifferent,photo,studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,b09e3125-2162-443b-bea0-25895b7605bc,scared,photo,studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,b143cd2b-20b1-4e9c-9bb7-cfb359b33d01,interested,photo,studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,48e834aa-fd4a-4206-93e8-ac8fdac613bc,hate,photo,studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,7246fed1-8725-4dbb-bccd-5451346f122d,scared,photo,studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,9664d628-9163-4aae-94e0-311f3bdb2f11,super love,photo,studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,2dd186bb-7a28-4e80-99c7-f1936afc7b49,peeking,photo,studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,f4ed8f9c-5eac-4d77-a206-c60afda2921a,indifferent,photo,studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,interested,photo,studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,35d6a1f3-e358-4d4b-8074-05f3b7f35c2a,peeking,photo,studying,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,c64c5004-6ab5-4faa-9fcd-8039fe57799d,worried,photo,studying,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,4cff698b-def1-497c-a78e-75058de67fe8,like,photo,studying,positive,50.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,0a1cde57-79ab-4c61-b664-1d3b290b43cf,heart,photo,studying,positive,60.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,afab7336-04d3-45fe-8917-0327c56e7435,worried,photo,studying,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,29ba1f29-2e45-41bd-9c43-05d0dae6c1c6,hate,photo,studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,e74edcea-5db4-4412-a4ce-eb7c5adc314a,hate,photo,studying,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,69527334-c362-47df-87fc-5e2b5e2605e5,cherish,photo,studying,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,bc142f57-1307-46c6-9975-8c3a1e5f540c,super love,photo,studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,d6204684-926d-41db-ae9c-a7bf2e76313a,scared,photo,studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,941db1b1-270d-47f8-8a96-43f5a7481f03,interested,photo,studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,indifferent,photo,studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,super love,photo,studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,photo,studying,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,5ad56e97-58f6-4e66-9b8f-5c16358a9a97,super love,photo,studying,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,bcdf88dc-2a52-4716-bc24-a1b46040c8ce,interested,photo,studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,69532ce2-1ffe-4187-8042-0230d115b24e,dislike,photo,studying,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8f3d5674-544d-4f70-b4c1-7b9d93371855,scared,photo,studying,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,9be473d9-cfdf-4954-bae2-09b0555a8ebb,want,photo,studying,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,48e26178-5cdd-4568-9990-d3bc5937910b,interested,photo,studying,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,ed5e1675-94a8-482c-8b43-1b9bb71d0495,indifferent,photo,studying,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,d81dc9d9-a614-40f1-9dd4-7a4a05bac243,worried,photo,studying,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,hate,photo,studying,negative,5.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,ddd079a8-00dd-4aab-9551-11961171db16,dislike,photo,healthy eating,negative,10.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,cbc99939-e6a6-4269-9819-bffce6f38751,intrigued,photo,healthy eating,positive,45.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,289044c8-e74c-4814-898a-b3b5eba6e46e,peeking,photo,healthy eating,neutral,35.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,34e8add9-0206-47fd-a501-037b994650a2,scared,photo,healthy eating,negative,15.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,a483c273-aee5-44bc-883e-d6963157aa4c,hate,photo,healthy eating,negative,5.0
